Game Name,Release Date,Price,Categories,User Tags,Developer,Publisher,Review Level,Review Detail
The Walking Dead: Saints & Sinners,23-Jan-20,$99.98 ,"Action, Adventure, Indie, RPG, Simulation, Strategy","VR, Zombies, Action, Gore, Horror, Adventure, Survival Horror, Shooter, Violent, Survival, Singleplayer, RPG, Choices Matter, Indie, Simulation, Strategy, Open World, First-Person, FPS, Multiplayer, +, ",Skydance Interactive,Skydance Interactive,Very Positive,"- 87% of the 7,072 user reviews for this game are positive."
Hellish Quart,16-Feb-21,$16.99 ,"Action, Early Access","Martial Arts, PvE, 3D, PvP, 3D Fighter, Arcade, Third Person, VR, Historical, Swordplay, Action, Realistic, Medieval, Moddable, Physics, Cinematic, Combat, Local Multiplayer, Singleplayer, Early Access, +, ",Kubold,Kubold,Very Positive,"- 90% of the 6,412 user reviews for this game are positive."
Stationeers,12-Dec-17,$34.99 ,"Action, Indie, Simulation, Early Access","Early Access, Space, Base Building, Science, Colony Sim, Automation, Survival, Sci-fi, Building, Physics, Open World Survival Craft, Sandbox, Agriculture, Management, Multiplayer, Co-op, Crafting, Open World, Mining, Mars, +, ",RocketWerkz,RocketWerkz,Very Positive,"- 85% of the 6,125 user reviews for this game are positive."
Ara: History Untold,24-Sep-24,$59.99 ,Strategy,"Strategy, 4X, Grand Strategy, Alternate History, Historical, Singleplayer, Resource Management, Turn-Based Tactics, Diplomacy, Management, Military, Tutorial, 3D, Top-Down, Multiplayer, City Builder, Turn-Based Strategy, Turn-Based, Villain Protagonist, LGBTQ+, +, ",Oxide Games,Xbox Game Studios,Mixed,"- 66% of the 1,398 user reviews for this game are positive."
Baten Kaitos I & II HD Remaster,17-Jun-24,$49.99 ,RPG,"RPG, Fantasy, JRPG, Singleplayer, Card Game, Card Battler, Deckbuilding, Turn-Based Combat, +, ","logicalbeat Co., Ltd.",Bandai Namco Entertainment,Very Positive,- 87% of the 125 user reviews for this game are positive.
Gourdlets,15-Aug-24,$4.99 ,"Casual, Indie, Simulation","Sandbox, City Builder, Relaxing, Simulation, Building, Cute, Colorful, Pixel Graphics, Cozy, Open World, Clicker, Atmospheric, Procedural Generation, Singleplayer, Casual, Isometric, Indie, Family Friendly, Dog, 2D, +, ",AuntyGames,Future Friends Games,Very Positive,"- 94% of the 1,181 user reviews for this game are positive."
We Happy Few,10-Aug-18,$59.99 ,"Action, Adventure, Indie","Adventure, Open World, Action, Survival, Dystopian, First-Person, Indie, Psychological Horror, Horror, Singleplayer, Atmospheric, Stealth, Exploration, Dark, Survival Horror, Crafting, Mature, Procedural Generation, Story Rich, Early Access, +, ",Compulsion Games,Gearbox Publishing,Mostly Positive,"- 76% of the 10,565 user reviews for this game are positive."
"Warhammer 40,000: Inquisitor - Martyr - Hierophant Class",12-Nov-24,$14.99 ,"Action, Adventure, Indie, RPG","RPG, Warhammer 40K, Action, Action RPG, Hack and Slash, Adventure, Indie, Loot, Dark, Co-op, Violent, Games Workshop, Space, Online Co-Op, Isometric, Multiplayer, Sci-fi, Singleplayer, War, Inventory Management, +, ",NeocoreGames,NeocoreGames,Very Positive,- 87% of the 62 user reviews for this game are positive.
Slitterhead,8-Nov-24,$49.99 ,"Action, Adventure","Action, Adventure, Action-Adventure, Spectacle fighter, 3D, Horror, Realistic, 1990's, Survival Horror, Mystery, Dog, Lore-Rich, Supernatural, Combat, Stealth, Tutorial, Singleplayer, Story Rich, Gore, Violent, +, ",Bokeh Game Studio lnc.,Bokeh Game Studio lnc.,Very Positive,- 81% of the 540 user reviews for this game are positive.
Journey to Incrementalia,23-Oct-24,$4.99 ,"Adventure, RPG, Strategy","Strategy, Auto Battler, Clicker, RPG, Idler, Dark Fantasy, Retro, Hack and Slash, 2D, Top-Down, Linear, Pixel Graphics, Minimalist, Fantasy, Gothic, Singleplayer, Adventure, Atmospheric, Relaxing, Mystery, +, ",Adam Travers,Adam Travers,Very Positive,- 89% of the 242 user reviews for this game are positive.
