Game Name,Release Date,Price,Categories,User Tags,Developer,Publisher,Review Level,Review Detail
House Flipper,17-May-18,$24.99 ,"Indie, Simulation","Simulation, Design & Illustration, Building, Singleplayer, Relaxing, Sandbox, Casual, Immersive Sim, Education, Management, First-Person, Economy, Family Friendly, Base Building, Replay Value, 3D, Realistic, Multiplayer, Indie, Moddable, +, ",Empyrean,Frozen District,Very Positive,"- 94% of the 79,415 user reviews for this game are positive."
Valve Index® Headset,,$499.00 ,,,,,No user reviews,No user reviews
Fallout 4,9-Nov-15,$19.99 ,RPG,"Open World, Post-apocalyptic, Singleplayer, Exploration, RPG, Adventure, Atmospheric, Shooter, First-Person, Story Rich, Action, Sci-fi, FPS, Action RPG, Sandbox, Great Soundtrack, Third Person, Survival, Third-Person Shooter, Character Customization, +, ",Bethesda Game Studios,Bethesda Softworks,Very Positive,"- 83% of the 253,401 user reviews for this game are positive."
Divinity: Original Sin 2 - Definitive Edition,14-Sep-17,$44.99 ,"Adventure, RPG, Strategy","Tactical RPG, RPG, Turn-Based Strategy, Story Rich, Fantasy, Character Customization, CRPG, Exploration, Party-Based RPG, Strategy RPG, PvP, Female Protagonist, Co-op Campaign, Local Co-Op, Choices Matter, Isometric, Romance, Strategy, Moddable, Funny, +, ",Larian Studios,Larian Studios,Overwhelmingly Positive,"- 95% of the 160,824 user reviews for this game are positive."
"Warhammer 40,000: Darktide",30-Nov-22,$39.99 ,"Action, Adventure, Indie","Action-Adventure, Horror, Combat, Warhammer 40K, Co-op, Class-Based, Realistic, Games Workshop, Hack and Slash, FPS, PvE, Shooter, Atmospheric, Character Customization, War, Zombies, Dark, First-Person, Action, Survival Horror, +, ",Fatshark,Fatshark,Mixed,"- 69% of the 84,846 user reviews for this game are positive."
Tom Clancy's Ghost Recon® Breakpoint,23-Jan-23,$59.99 ,"Action, Adventure","Open World, Co-op, Singleplayer, Action, Multiplayer, Shooter, Military, Third-Person Shooter, Stealth, Adventure, Realistic, Online Co-Op, Third Person, Tactical, Character Customization, FPS, Violent, Looter Shooter, Gore, Sexual Content, +, ",Ubisoft Paris,Ubisoft,Mostly Positive,"- 72% of the 23,373 user reviews for this game are positive."
Monster Hunter Wilds,27-Feb-25,$69.99 ,"Action, Adventure, RPG","Hunting, Action, Multiplayer, Co-op, Online Co-Op, Dating Sim, Dragons, Open World, Third Person, Character Customization, Action RPG, Adventure, Cute, Fantasy, RPG, Singleplayer, Atmospheric, Great Soundtrack, Underwater, Hentai, +, ","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",No user reviews,No user reviews
Forza Horizon 4,9-Mar-21,$59.99 ,Racing,"Racing, Open World, Driving, Multiplayer, Automobile Sim, Online Co-Op, Realistic, Singleplayer, Controller, Simulation, Adventure, PvP, Arcade, Exploration, Atmospheric, Action, Sports, Great Soundtrack, First-Person, Funny, +, ",Playground Games,Xbox Game Studios,Very Positive,"- 90% of the 246,358 user reviews for this game are positive."
Half-Life: Alyx,23-Mar-20,$59.99 ,"Action, Adventure","VR, FPS, Horror, Story Rich, Female Protagonist, Shooter, Singleplayer, First-Person, Action, Sci-fi, Atmospheric, Zombies, Beautiful, Aliens, Adventure, Futuristic, Psychological Horror, Memes, Great Soundtrack, Gore, +, ",Valve,Valve,Overwhelmingly Positive,"- 98% of the 81,283 user reviews for this game are positive."
STAR WARS™: The Old Republic™,20-Dec-11,Free To Play,"Massively Multiplayer, RPG, Free To Play","Free to Play, MMORPG, Multiplayer, Character Customization, Open World, RPG, Story Rich, Choices Matter, Massively Multiplayer, Sci-fi, Adventure, Space, Action, Third Person, PvP, Atmospheric, Action RPG, Party-Based RPG, Great Soundtrack, CRPG, +, ",Broadsword,Electronic Arts,Very Positive,"- 89% of the 64,004 user reviews for this game are positive."
Total War: ROME II - Emperor Edition,2-Sep-13,$59.99 ,Strategy,"Strategy, Historical, Turn-Based Strategy, Grand Strategy, Rome, Tactical, Multiplayer, War, Real Time Tactics, RTS, Turn-Based, Singleplayer, Online Co-Op, Simulation, Turn-Based Tactics, Co-op, Moddable, Action, Atmospheric, Education, +, ",CREATIVE ASSEMBLY,SEGA,Very Positive,"- 86% of the 48,351 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
DARK SOULS™: REMASTERED,23-May-18,$39.99 ,Action,"Souls-like, Dark Fantasy, RPG, Difficult, Action, Dark, Fantasy, Atmospheric, Great Soundtrack, Action RPG, Lore-Rich, Adventure, Multiplayer, Story Rich, Exploration, Third Person, Replay Value, Character Customization, Soundtrack, Co-op, +, ",QLOC,"FromSoftware, Inc.",Very Positive,"- 91% of the 75,070 user reviews for this game are positive."
Lethal Company,23-Oct-23,$9.99 ,"Action, Adventure, Indie, Early Access","Online Co-Op, Horror, First-Person, Co-op, Survival Horror, Exploration, Psychological Horror, Funny, Sci-fi, PvE, Atmospheric, Procedural Generation, Aliens, Time Management, Adventure, Dungeon Crawler, Action, Early Access, Action-Adventure, Perma Death, +, ",Zeekerss,Zeekerss,Overwhelmingly Positive,"- 97% of the 364,316 user reviews for this game are positive."
Slime Rancher,1-Aug-17,$19.99 ,"Action, Adventure, Indie, Simulation","Cute, Exploration, Adventure, Singleplayer, Open World, First-Person, Colorful, Funny, Sandbox, Simulation, Casual, Management, Fantasy, Family Friendly, Indie, Great Soundtrack, Female Protagonist, Action, Early Access, FPS, +, ",Monomi Park,Monomi Park,Overwhelmingly Positive,"- 97% of the 112,651 user reviews for this game are positive."
Arma 3,12-Sep-13,$29.99 ,"Action, Simulation, Strategy","Military, Action, Multiplayer, Shooter, Simulation, Realistic, First-Person, Open World, Tactical, FPS, War, Co-op, Strategy, Sandbox, Singleplayer, Moddable, Combat, Online Co-Op, Team-Based, Third-Person Shooter, +, ",Bohemia Interactive,Bohemia Interactive,Very Positive,"- 90% of the 208,976 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Darkest Dungeon®,19-Jan-16,$24.99 ,"Indie, RPG, Strategy","Turn-Based Combat, Dark Fantasy, Dungeon Crawler, Roguelike, RPG, Lovecraftian, Difficult, Turn-Based, Singleplayer, Perma Death, Strategy, Atmospheric, Dark, Indie, 2D, Roguelite, Horror, Gothic, Fantasy, Kickstarter, +, ",Red Hook Studios,Red Hook Studios,Very Positive,"- 91% of the 123,125 user reviews for this game are positive."
NBA 2K25 MyCAREER Bonus Offer: Season 3,29-Nov-24,$19.99 ,"Simulation, Sports","Sports, Simulation, Basketball, eSports, 3D, Immersive Sim, Management, PvP, Character Customization, Controller, Team-Based, Deckbuilding, Trading, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Online Co-Op, Singleplayer, 4 Player Local, +, ",Visual Concepts,2K,No user reviews,No user reviews
Lies of P,18-Sep-23,$59.99 ,"Action, Adventure, RPG","Souls-like, Action, Dark Fantasy, Action RPG, Exploration, Third Person, Singleplayer, Story Rich, Dark, Adventure, Steampunk, Atmospheric, 3D, RPG, Choices Matter, Multiple Endings, Gothic, Violent, Difficult, Replay Value, +, ",NEOWIZ,NEOWIZ,Very Positive,"- 92% of the 32,516 user reviews for this game are positive."
God of War Ragnarök,19-Sep-24,$59.99 ,"Action, Adventure, RPG","Action, Adventure, Action-Adventure, RPG, Action RPG, Cinematic, Hack and Slash, 3D, Third Person, Mythology, Atmospheric, Emotional, Drama, Fantasy, Story Rich, Combat, Open World, Singleplayer, Gore, LGBTQ+, +, ",Santa Monica Studio,PlayStation Publishing LLC,Very Positive,"- 84% of the 12,479 user reviews for this game are positive."
It Takes Two Friend's Pass,29-May-24,,"Action, Adventure, Indie","Co-op, Multiplayer, Split Screen, Local Co-Op, Puzzle, Online Co-Op, Adventure, Story Rich, Local Multiplayer, Co-op Campaign, Puzzle Platformer, 3D Platformer, Action-Adventure, Emotional, Platformer, Action, Exploration, Atmospheric, Minigames, Female Protagonist, +, ",Hazelight Studio,Electronic Arts,Overwhelmingly Positive,"- 95% of the 155,142 user reviews for this game are positive."
Tabletop Simulator,5-Jun-15,$19.99 ,"Casual, Indie, RPG, Simulation, Strategy","Tabletop, Board Game, Simulation, Multiplayer, Sandbox, Card Game, VR, Trading Card Game, Physics, Moddable, Casual, 3D, Online Co-Op, Strategy, Wargame, Co-op, RPG, Funny, First-Person, Indie, +, ",Berserk Games,Berserk Games,Overwhelmingly Positive,"- 96% of the 40,585 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
iRacing,12-Jan-15,,"Massively Multiplayer, Racing, Simulation, Sports","Racing, Automobile Sim, Simulation, VR, Sports, Driving, Multiplayer, Massively Multiplayer, Realistic, Singleplayer, Controller, eSports, First-Person, Action, Sexual Content, +, ",iRacing.com Motorsport Simulations,iRacing.com Motorsport Simulations,Very Positive,"- 83% of the 2,881 user reviews for this game are positive."
Monster Hunter: World,8-Aug-18,$29.99 ,Action,"Co-op, Multiplayer, Action, Open World, RPG, Character Customization, Third Person, Adventure, Fantasy, Difficult, Action RPG, Singleplayer, Exploration, Great Soundtrack, Replay Value, Atmospheric, Hack and Slash, JRPG, MMORPG, Souls-like, +, ","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Very Positive,"- 88% of the 284,087 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Stray,19-Jul-22,$29.99 ,"Adventure, Indie","Cats, Adventure, Cyberpunk, Atmospheric, Singleplayer, Cute, Exploration, Robots, Beautiful, Third Person, Puzzle, Horror, Sci-fi, Indie, Dystopian, Open World, Mystery, Action, Colorful, Stealth, +, ",BlueTwelve Studio,Annapurna Interactive,Overwhelmingly Positive,"- 97% of the 131,478 user reviews for this game are positive."
World of Warships,15-Nov-17,$30.00 ,"Action, Massively Multiplayer, Simulation, Free To Play","Naval Combat, Free to Play, Naval, World War II, Massively Multiplayer, Multiplayer, Action, PvP, Tactical, Historical, Military, Online Co-Op, Team-Based, Simulation, Realistic, Shooter, PvE, War, Third-Person Shooter, Co-op, +, ",Wargaming Group Limited,Wargaming Group Limited,Mostly Positive,"- 77% of the 144,595 user reviews for this game are positive."
Total War: WARHAMMER II,28-Sep-17,$59.99 ,"Action, Strategy","Strategy, Fantasy, Turn-Based Strategy, RTS, Grand Strategy, War, Multiplayer, Games Workshop, Action, Turn-Based, Singleplayer, Dark Fantasy, Co-op, Tactical, Real Time Tactics, Story Rich, Atmospheric, Dwarf, Dinosaurs, Great Soundtrack, +, ",CREATIVE ASSEMBLY,SEGA,Very Positive,"- 93% of the 83,602 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
The Witcher 3: Wild Hunt,18-May-15,$39.99 ,RPG,"Open World, RPG, Story Rich, Atmospheric, Mature, Fantasy, Adventure, Singleplayer, Nudity, Choices Matter, Great Soundtrack, Third Person, Medieval, Action, Multiple Endings, Action RPG, Dark Fantasy, Magic, Dark, Sandbox, +, ",CD PROJEKT RED,CD PROJEKT RED,Overwhelmingly Positive,"- 96% of the 734,402 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Grounded,27-Sep-22,$39.99 ,"Action, Adventure","Survival, Multiplayer, Open World Survival Craft, Co-op, Base Building, Crafting, Adventure, Open World, Horror, Online Co-Op, Exploration, Action, Sandbox, First-Person, Singleplayer, RPG, Third Person, Cute, Funny, Early Access, +, ",Obsidian Entertainment,Xbox Game Studios,Very Positive,"- 90% of the 60,813 user reviews for this game are positive."
Magic: The Gathering Arena,23-May-23,Free To Play,"Strategy, Free To Play","Strategy, Card Game, Free to Play, Trading Card Game, Deckbuilding, PvP, Turn-Based Strategy, Multiplayer, eSports, Fantasy, Magic, Tactical, Gambling, +, ",Wizards of the Coast LLC,Wizards of the Coast LLC,Mixed,"- 64% of the 15,123 user reviews for this game are positive."
ICARUS,3-Dec-21,$34.99 ,"Action, Adventure, Simulation","Survival, Open World Survival Craft, Multiplayer, Base Building, Online Co-Op, Crafting, Exploration, Open World, Building, Co-op, First-Person, PvE, Space, Realistic, Mining, Third Person, Sandbox, Adventure, Nature, Science, +, ",RocketWerkz,RocketWerkz,Mostly Positive,"- 72% of the 33,849 user reviews for this game are positive."
Abiotic Factor,2-May-24,$24.99 ,"Action, Adventure, RPG, Simulation, Early Access","Survival, Online Co-Op, Open World Survival Craft, Early Access, Crafting, Base Building, Sci-fi, Co-op Campaign, Exploration, Multiplayer, FPS, Sandbox, First-Person, Building, Science, Simulation, Aliens, PvE, Immersive Sim, Adventure, +, ",Deep Field Games,Playstack,Overwhelmingly Positive,"- 96% of the 16,607 user reviews for this game are positive."
NBA 2K25 MyTEAM Bonus Offer: Season 3,29-Nov-24,$19.99 ,"Simulation, Sports","Sports, Simulation, Basketball, eSports, 3D, Immersive Sim, Management, PvP, Character Customization, Controller, Team-Based, Deckbuilding, Trading, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Online Co-Op, Singleplayer, 4 Player Local, +, ",Visual Concepts,2K,No user reviews,No user reviews
Ratchet & Clank: Rift Apart,26-Jul-23,$59.99 ,"Action, Adventure","Adventure, 3D Platformer, Singleplayer, Action-Adventure, Third Person, Family Friendly, Action, Third-Person Shooter, Sci-fi, Platformer, Funny, Shooter, Cartoony, Colorful, Cute, Open World, Female Protagonist, Story Rich, Space, Co-op, +, ",Insomniac Games,PlayStation Publishing LLC,Very Positive,"- 89% of the 7,282 user reviews for this game are positive."
Suicide Squad: Kill the Justice League,2-Feb-24,$69.99 ,Action,"Online Co-Op, LGBTQ+, Superhero, Capitalism, Third-Person Shooter, Looter Shooter, Action, Multiplayer, Open World, PvE, Villain Protagonist, Third Person, Shooter, Violent, Gore, Political, Singleplayer, Psychological Horror, Casual, Comic Book, +, ",Rocksteady Studios,Warner Bros. Games,Mixed,"- 66% of the 7,154 user reviews for this game are positive."
Detroit: Become Human,18-Jun-20,$39.99 ,"Action, Adventure","Choices Matter, Story Rich, Multiple Endings, Cinematic, Singleplayer, Emotional, Sci-fi, Robots, Futuristic, Adventure, Beautiful, Great Soundtrack, Atmospheric, Third Person, Dynamic Narration, Replay Value, Cyberpunk, Narration, Violent, Female Protagonist, +, ",Quantic Dream,Quantic Dream,Overwhelmingly Positive,"- 95% of the 119,648 user reviews for this game are positive."
MechWarrior 5: Clans,16-Oct-24,$49.99 ,"Action, Simulation","Action, Simulation, Shooter, FPS, 3D, Mechs, First-Person, Immersive Sim, Realistic, Futuristic, Military, Sci-fi, War, Linear, Character Customization, PvE, Co-op, Multiplayer, Online Co-Op, Singleplayer, +, ",Piranha Games Inc.,Piranha Games Inc.,Mostly Positive,"- 76% of the 3,321 user reviews for this game are positive."
Hollow Knight,24-Feb-17,$14.99 ,"Action, Adventure, Indie","Metroidvania, Souls-like, Platformer, Great Soundtrack, 2D, Difficult, Indie, Singleplayer, Atmospheric, Exploration, Adventure, Story Rich, Hand-drawn, Action, Multiple Endings, Dark Fantasy, Open World, Cute, Controller, Side Scroller, +, ",Team Cherry,Team Cherry,Overwhelmingly Positive,"- 97% of the 338,231 user reviews for this game are positive."
Witchfire,23-Sep-24,$39.99 ,"Action, Early Access","FPS, Roguelite, Extraction Shooter, Souls-like, Dark Fantasy, Shooter, RPG, Early Access, Exploration, PvE, Action RPG, First-Person, Character Customization, Horror, Loot, Controller, Action, Narration, Roguelike, Singleplayer, +, ",The Astronauts,The Astronauts,Very Positive,"- 93% of the 5,108 user reviews for this game are positive."
Dead by Daylight - Doomed Course,28-Nov-24,$7.99 ,Action,"Horror, Survival Horror, Multiplayer, Online Co-Op, Co-op, Survival, Gore, Team-Based, Blood, Stealth, Violent, Third Person, Action, First-Person, Psychological Horror, Atmospheric, Strategy, Comedy, Mature, Difficult, +, ",Behaviour Interactive Inc.,Behaviour Interactive Inc.,Mostly Negative,- 38% of the 254 user reviews for this game are positive.
Assassin's Creed Valhalla,6-Dec-22,$59.99 ,"Action, Adventure, RPG","Open World, Action, Adventure, RPG, Singleplayer, Multiplayer, Vikings, Nudity, Action-Adventure, Third Person, Violent, Stealth, Assassin, Action RPG, Story Rich, Historical, Gore, Female Protagonist, Atmospheric, Medieval, +, ",Ubisoft Montreal,Ubisoft,Mostly Positive,"- 70% of the 24,431 user reviews for this game are positive."
Age of Mythology: Retold,4-Sep-24,$29.99 ,Strategy,"Strategy, RTS, Mythology, Base Building, Action RTS, Fantasy, Top-Down, Multiplayer, Magic, Resource Management, Level Editor, Moddable, PvP, PvE, Singleplayer, Co-op, Story Rich, Online Co-Op, Real-Time, 3D, +, ",World's Edge,Xbox Game Studios,Very Positive,"- 90% of the 11,612 user reviews for this game are positive."
Rivals of Aether II,23-Oct-24,$29.99 ,"Action, Indie","Fighting, Multiplayer, Indie, 2D Fighter, Action, Local Multiplayer, 4 Player Local, Fantasy, 2.5D, Combat, PvP, Co-op, Controller, 2D Platformer, Competitive, Platformer, Fast-Paced, Colorful, Casual, Games Workshop, +, ",Aether Studios,Aether Studios,Very Positive,"- 84% of the 3,201 user reviews for this game are positive."
Assetto Corsa,19-Dec-14,$19.99 ,"Indie, Racing, Simulation, Sports","Racing, Automobile Sim, Simulation, Driving, Multiplayer, VR, Realistic, Sports, Moddable, Open World, Controller, Singleplayer, Physics, First-Person, Replay Value, Indie, Action, 3D Vision, TrackIR, Artificial Intelligence, +, ",Kunos Simulazioni,Kunos Simulazioni,Very Positive,"- 92% of the 107,309 user reviews for this game are positive."
UFO 50,18-Sep-24,$24.99 ,"Action, Adventure, Indie, RPG, Strategy","Indie, Action, Pixel Graphics, Retro, Adventure, Strategy, RPG, 2D, Arcade, Casual, Difficult, Local Multiplayer, 1980s, Minigames, Great Soundtrack, +, ",Mossmouth,Mossmouth,Overwhelmingly Positive,"- 96% of the 4,218 user reviews for this game are positive."
Grand Theft Auto: San Andreas – The Definitive Edition,19-Jan-23,$59.99 ,"Action, Adventure","Action, Sexual Content, Open World, Third-Person Shooter, Crime, Adventure, Nudity, Action-Adventure, Violent, Third Person, 1990's, Singleplayer, Mature, Combat, Gore, Story Rich, Classic, Psychological Horror, Memes, Sandbox, +, ",Rockstar Games,Rockstar Games,Mostly Positive,"- 74% of the 6,053 user reviews for this game are positive."
Terraria,16-May-11,$9.99 ,"Action, Adventure, Indie, RPG","Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer, Adventure, Pixel Graphics, Crafting, Building, Exploration, Co-op, Open World, Online Co-Op, Indie, Action, RPG, Singleplayer, Replay Value, Platformer, Atmospheric, +, ",Re-Logic,Re-Logic,Overwhelmingly Positive,"- 97% of the 1,074,672 user reviews for this game are positive."
Avatar: Frontiers of Pandora™,17-Jun-24,$69.99 ,"Action, Adventure","Action, Adventure, Shooter, Open World, Exploration, First-Person, Online Co-Op, Atmospheric, Sci-fi, Immersive Sim, 3D, Story Rich, Character Customization, Singleplayer, Multiplayer, Female Protagonist, Nudity, RPG, LGBTQ+, +, ",Massive Entertainment – A Ubisoft Studio,Ubisoft,Mixed,"- 64% of the 1,507 user reviews for this game are positive."
Nuclear Nightmare,20-Oct-24,$6.99 ,"Action, Adventure, Indie, Early Access","Survival Horror, Online Co-Op, Horror, First-Person, Co-op, Exploration, Psychological Horror, Funny, Sci-fi, PvE, Atmospheric, Open World, Aliens, Adventure, Action, Early Access, Action-Adventure, Multiplayer, Perma Death, Procedural Generation, +, ",BG Productions,BG Productions,Very Positive,"- 89% of the 1,246 user reviews for this game are positive."
NieR:Automata™,17-Mar-17,$39.99 ,"Action, RPG","Great Soundtrack, Story Rich, Female Protagonist, Hack and Slash, Action, Open World, RPG, JRPG, Anime, Post-apocalyptic, Singleplayer, Robots, Atmospheric, Sci-fi, Nudity, Adventure, Bullet Hell, Spectacle fighter, Character Action Game, Violent, +, ",Square Enix,Square Enix,Very Positive,"- 87% of the 98,799 user reviews for this game are positive."
PowerWash Simulator,14-Jul-22,$24.99 ,"Casual, Indie, Simulation","Casual, Relaxing, Simulation, Multiplayer, First-Person, 3D, Sandbox, Funny, Co-op, Immersive Sim, Online Co-Op, Family Friendly, Story Rich, Colorful, Realistic, Wholesome, Singleplayer, Indie, Cozy, Atmospheric, +, ",FuturLab,Square Enix,Overwhelmingly Positive,"- 97% of the 42,647 user reviews for this game are positive."
Valheim,2-Feb-21,$19.99 ,"Action, Adventure, Indie, RPG, Early Access","Open World Survival Craft, Survival, Online Co-Op, Open World, Multiplayer, Building, Crafting, Base Building, Exploration, Co-op, Difficult, Adventure, Mythology, Sandbox, Action, PvE, Third Person, Singleplayer, Early Access, Indie, +, ",Iron Gate AB,Coffee Stain Publishing,Very Positive,"- 94% of the 405,947 user reviews for this game are positive."
Team Fortress 2,10-Oct-07,$19.99 ,"Action, Free To Play","Free to Play, Hero Shooter, Multiplayer, FPS, Shooter, Action, Class-Based, Team-Based, Funny, First-Person, Online Co-Op, Competitive, Cartoony, Trading, Co-op, Comedy, Robots, Tactical, Cartoon, Crafting, +, ",Valve,Valve,Very Positive,"- 88% of the 1,129,860 user reviews for this game are positive."
Slime Rancher 2,22-Sep-22,$29.99 ,"Action, Adventure, Casual, Indie, Simulation, Early Access","Early Access, Cute, Relaxing, Colorful, Open World, Singleplayer, First-Person, Creature Collector, Adventure, Family Friendly, Simulation, Casual, Female Protagonist, 3D, Fantasy, Building, Multiplayer, Action-Adventure, FPS, Action, +, ",Monomi Park,Monomi Park,Very Positive,"- 94% of the 26,583 user reviews for this game are positive."
Killing Floor 2,18-Nov-16,$29.99 ,Action,"Zombies, Online Co-Op, FPS, Gore, Multiplayer, Post-apocalyptic, Hack and Slash, Shooter, Horror, Action, Moddable, First-Person, Survival, Co-op, Team-Based, Survival Horror, Atmospheric, PvE, Character Customization, Dark, +, ",Tripwire Interactive,Tripwire Interactive,Very Positive,"- 88% of the 81,457 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
7 Days to Die,25-Jul-24,$44.99 ,"Action, Adventure, Indie, RPG, Simulation, Strategy","Survival, Zombies, Multiplayer, Open World, Open World Survival Craft, Base Building, Voxel, Post-apocalyptic, Online Co-Op, Building, Exploration, Sandbox, FPS, Simulation, Character Customization, Tower Defense, Strategy, Action, Procedural Generation, Horror, +, ",The Fun Pimps,The Fun Pimps Entertainment LLC,Very Positive,"- 88% of the 240,801 user reviews for this game are positive."
V Rising,8-May-24,$34.99 ,"Action, Adventure, Massively Multiplayer","Survival, Open World, Base Building, Vampire, Multiplayer, Crafting, Online Co-Op, PvP, PvE, Building, Hack and Slash, Sandbox, Exploration, Massively Multiplayer, Singleplayer, Action-Adventure, Action, Dark Fantasy, Adventure, Co-op, +, ",Stunlock Studios,Stunlock Studios,Very Positive,"- 89% of the 89,051 user reviews for this game are positive."
Cities: Skylines II,24-Oct-23,$49.99 ,Simulation,"City Builder, Simulation, Building, Singleplayer, Sandbox, Management, Economy, Strategy, Realistic, Moddable, Resource Management, Relaxing, Transportation, Casual, Multiplayer, Atmospheric, Early Access, Open World, Great Soundtrack, Mod, +, ",Colossal Order Ltd.,Paradox Interactive,Mixed,"- 53% of the 44,743 user reviews for this game are positive."
ULTRAKILL,3-Sep-20,$24.99 ,"Action, Indie, Early Access","Boomer Shooter, Fast-Paced, Character Action Game, FPS, Blood, Arena Shooter, Spectacle fighter, Retro, Singleplayer, Shooter, Difficult, First-Person, Great Soundtrack, Score Attack, Colorful, Action, Robots, Cyberpunk, Old School, Early Access, +, ","Arsi ""Hakita"" Patala",New Blood Interactive,Overwhelmingly Positive,"- 97% of the 119,767 user reviews for this game are positive."
DAVE THE DIVER,28-Jun-23,$19.99 ,"Adventure, Casual, RPG, Simulation","Pixel Graphics, Casual, Management, Adventure, Relaxing, RPG, Fishing, Exploration, Simulation, Underwater, Singleplayer, Farming Sim, Story Rich, 2D, Crafting, Roguelite, Funny, Agriculture, Action, Indie, +, ",MINTROCKET,MINTROCKET,Overwhelmingly Positive,"- 97% of the 107,026 user reviews for this game are positive."
Valve Index® Base Station,,$149.00 ,,,,,No user reviews,No user reviews
The Forest,30-Apr-18,$19.99 ,"Action, Adventure, Indie, Simulation","Open World Survival Craft, Survival, Open World, Horror, Crafting, Adventure, Building, Survival Horror, First-Person, Action, Exploration, Sandbox, Singleplayer, Atmospheric, Simulation, Gore, Realistic, Indie, Zombies, Early Access, +, ",Endnight Games Ltd,Endnight Games Ltd,Overwhelmingly Positive,"- 95% of the 484,806 user reviews for this game are positive."
The First Descendant,30-Jun-24,Free To Play,"Action, Adventure, RPG, Free To Play","Free to Play, Sexual Content, Looter Shooter, Multiplayer, Third-Person Shooter, RPG, Online Co-Op, Action, Shooter, Action RPG, Third Person, Singleplayer, Adventure, Sci-fi, Co-op, Character Customization, PvE, Story Rich, Combat, Violent, +, ","NEXON Games Co., Ltd.",NEXON,Mixed,"- 56% of the 93,795 user reviews for this game are positive."
TCG Card Shop Simulator,15-Sep-24,$12.99 ,"Simulation, Early Access","Simulation, Management, Economy, Collectathon, Singleplayer, Capitalism, Early Access, Trading Card Game, Card Game, Immersive Sim, Trading, 3D, Life Sim, First-Person, Relaxing, Casual, Shop Keeper, Psychological Horror, +, ",OPNeon Games,OPNeon Games,Overwhelmingly Positive,"- 97% of the 28,018 user reviews for this game are positive."
Yu-Gi-Oh! Master Duel,18-Jan-22,Free To Play,"Simulation, Strategy, Free To Play","Card Game, Free to Play, Strategy, Trading Card Game, Multiplayer, PvP, Card Battler, Anime, Simulation, Turn-Based Tactics, Tactical, Singleplayer, eSports, Dragons, Fantasy, PvE, 3D, 2D, Great Soundtrack, Sexual Content, +, ",KONAMI,KONAMI,Mostly Positive,"- 75% of the 79,024 user reviews for this game are positive."
Mad Max,1-Sep-15,$19.99 ,"Action, Adventure","Open World, Vehicular Combat, Post-apocalyptic, Action, Driving, Singleplayer, Survival, Third Person, Adventure, Exploration, Automobile Sim, Atmospheric, Racing, Story Rich, Sandbox, RPG, Shooter, Third-Person Shooter, Multiplayer, War, +, ",Avalanche Studios,Warner Bros. Games,Very Positive,"- 91% of the 48,341 user reviews for this game are positive."
Dead Space,27-Jan-23,$59.99 ,"Action, Adventure","Horror, Third-Person Shooter, Sci-fi, Space, Survival Horror, Shooter, Psychological Horror, Action-Adventure, Singleplayer, Third Person, Atmospheric, Action, Survival, Aliens, Remake, Dark, Adventure, Violent, Combat, Blood, +, ",Motive,Electronic Arts,Very Positive,"- 91% of the 39,241 user reviews for this game are positive."
Hell Let Loose,27-Jul-21,$49.99 ,"Action, Indie, Massively Multiplayer, Simulation, Strategy","Shooter, World War II, Realistic, FPS, Multiplayer, War, Singleplayer, Action, Military, Tactical, Simulation, First-Person, Massively Multiplayer, Gore, Historical, PvP, Strategy, Mature, Violent, Indie, +, ",Team17,Team17,Very Positive,"- 84% of the 84,572 user reviews for this game are positive."
Far Cry® 6,11-May-23,$59.99 ,"Action, Adventure","Open World, FPS, Action, Online Co-Op, Multiplayer, Adventure, Shooter, Co-op, Singleplayer, Action-Adventure, Exploration, 3D, Female Protagonist, Combat, PvE, First-Person, Atmospheric, Crafting, Modern, Sandbox, +, ",Ubisoft Toronto,Ubisoft,Mostly Positive,"- 71% of the 21,794 user reviews for this game are positive."
UNCHARTED™: Legacy of Thieves Collection,19-Oct-22,$49.99 ,Adventure,"Adventure, Action-Adventure, Story Rich, Singleplayer, Third Person, Third-Person Shooter, Puzzle, Action, Multiplayer, Exploration, Controller, Shooter, Cinematic, Parkour, Stealth, Atmospheric, Female Protagonist, Combat, Funny, Platformer, +, ",Naughty Dog LLC,PlayStation Publishing LLC,Very Positive,"- 89% of the 15,559 user reviews for this game are positive."
